| Model name               | Model name (on Ollama)                       | Param. count (B) |
| -----------------------  | -------------------------------------------- | ---------------- |
| Command-R-7b             | command-r7b:latest                           | 8.03             |
| DeepSeek-r1-distill-1.5b | deepseek-r1:1.5b                             | 1.78             |
| DeepSeek-r1-distill-7b   | deepseek-r1:7b                               | 7.62             |
| DeepSeek-r1-distill-8b   | deepseek-r1:8b                               | 8.03             |
| Dolphin-3                | dolphin3:latest                              | 8.03             |
| Falcon-3-3b              | falcon3:3b                                   | 3.23             |
| Falcon-3-7b              | falcon3:latest                               | 7.46             |
| Gemma-2                  | gemma2:latest                                | 9.24             |
| Granite-3.1-2b           | granite3.1-dense:2b                          | 2.53             |
| Granite-3.1-8b           | granite3.1-dense:latest                      | 8.17             |
| Granite-3.1-MOE-1b       | granite3.1-moe:1b                            | 1.33             |
| Granite-3.1-MOE-3b       | granite3.1-moe:3b                            | 3.3              |
| InternLM-3               | lly/InternLM3-8B-Instruct:8b-instruct-q4_k_m | 8.8              |
| Llama-3.1-8b             | llama3.1:8b-instruct-q4_K_M                  | 8.03             |
| Llama-3.2-1b             | llama3.2:1b                                  | 1.24             |
| Llama-3.2-3b             | llama3.2:3b-instruct-q8_0                    | 3.21             |
| Llama-3.3                | llama3.3:70b-instruct-q3_K_M                 | 70.6             |
| Marco-o1                 | marco-o1:latest                              | 7.62             |
| Nemo                     | mistral-nemo:12b-instruct-2407-q4_K_M        | 12.2             |
| Olmo-2                   | olmo2:7b                                     | 7.3              |
| Phi-4                    | phi4:latest                                  | 14.7             |
| Qwen-2.5-0.5b            | qwen2.5:0.5b-instruct-q8_0                   | 0.494            |
| Qwen-2.5-1.5b            | qwen2.5:1.5b-instruct-q8_0                   | 1.54             |
| Qwen-2.5-3b              | qwen2.5:3b                                   | 3.09             |
| Qwen-2.5-7b              | qwen2.5:7b                                   | 7.62             |
| Qwen-2.5-32b             | qwen2.5:32b-instruct-q3_K_M                  | 32.8             |
| QwQ                      | qwq:latest                                   | 32.8             |
| Smallthinker             | smallthinker:latest                          | 3.4              |
| Tulu-3                   | tulu3:latest                                 | 8.03             |
| Mistral-small-3          | mistral-small:latest                         | 23.6             |
| SmolLM-2-1.7b            | smollm2:latest                               | 1.71             |
| SmolLM-2-360m            | smollm2:360m                                 | 0.362            | 
| Mistral-7b               | mistral:7b                                   | 7.25             | 
| Tulu-3.1                 | hf.co/bartowski/allenai_Llama-3.1-Tulu-3.1-8B-GGUF:Q6_K | 8.03  | 
| Phi-4-mini               | phi4-mini:3.8b-q8_0                          | 3.84             |
| Granite-3.2-2b           | granite3.2:2b-instruct-q8_0                  | 2.53             |
| Granite-3.2-8b           | granite3.2:8b                                | 8.17             |
| Gemma-3-1b               | gemma3:1b                                    | 1.0              |
| Gemma-3-4b               | gemma3:4b                                    | 4.3              |
| Gemma-3-12b              | gemma3:12b                                   | 12.2             |
| Gemma-3-27b              | gemma3:27b                                   | 27.4             |
